freq,S11,patch_length,substrate_height
5.81099987,-0.811191523,8,0.8
5.820000172,-0.816113067,8,0.8
5.828999996,-0.821252252,8,0.8
5.837999821,-0.826622707,8,0.8
5.847000122,-0.832231999,8,0.8
5.855999947,-0.838070282,8,0.8
5.864999771,-0.844119475,8,0.8
5.874000072,-0.850347944,8,0.8
5.882999897,-0.856717977,8,0.8
5.892000198,-0.863181226,8,0.8
5.901000023,-0.869687623,8,0.8
5.909999847,-0.876185709,8,0.8
5.919000149,-0.882621822,8,0.8
5.927999973,-0.888950707,8,0.8
5.936999798,-0.895132857,8,0.8
5.946000099,-0.901134795,8,0.8
5.954999924,-0.906940728,8,0.8
5.964000225,-0.912538654,8,0.8
5.97300005,-0.917934369,8,0.8
5.981999874,-0.923142934,8,0.8
5.991000175,-0.928190392,8,0.8
6,-0.933112035,8,0.8
6.008999825,-0.937949795,8,0.8
6.018000126,-0.942749646,8,0.8
6.02699995,-0.947562088,8,0.8
6.035999775,-0.952434549,8,0.8
6.045000076,-0.957409016,8,0.8
6.053999901,-0.962526416,8,0.8
6.063000202,-0.967814124,8,0.8
6.072000027,-0.973291145,8,0.8
6.080999851,-0.978967084,8,0.8
6.090000153,-0.984837574,8,0.8
6.098999977,-0.990889558,8,0.8
6.107999802,-0.997097167,8,0.8
6.117000103,-1.00342663,8,0.8
6.125999928,-1.009835951,8,0.8
6.135000229,-1.016280821,8,0.8
6.144000053,-1.022710739,8,0.8
6.152999878,-1.02907979,8,0.8
6.162000179,-1.035342268,8,0.8
6.171000004,-1.041459058,8,0.8
6.179999828,-1.047397665,8,0.8
6.18900013,-1.053135548,8,0.8
6.197999954,-1.058663996,8,0.8
6.206999779,-1.063979306,8,0.8
6.21600008,-1.069092831,8,0.8
6.224999905,-1.074024873,8,0.8
6.234000206,-1.078806918,8,0.8
6.243000031,-1.083473058,8,0.8
6.251999855,-1.088065173,8,0.8
6.261000156,-1.092628397,8,0.8
6.269999981,-1.097207946,8,0.8
6.278999805,-1.101845752,8,0.8
6.288000107,-1.106579254,8,0.8
6.296999931,-1.11143787,8,0.8
6.306000233,-1.116441812,8,0.8
6.315000057,-1.121604478,8,0.8
6.323999882,-1.126925507,8,0.8
6.333000183,-1.132395907,8,0.8
6.342000008,-1.137996703,8,0.8
6.350999832,-1.143698266,8,0.8
6.360000134,-1.149467225,8,0.8
6.368999958,-1.155258901,8,0.8
6.377999783,-1.161033263,8,0.8
6.387000084,-1.166744107,8,0.8
6.395999908,-1.172349511,8,0.8
6.40500021,-1.177812235,8,0.8
6.414000034,-1.183099616,8,0.8
6.422999859,-1.188190104,8,0.8
6.43200016,-1.19306694,8,0.8
6.440999985,-1.197728057,8,0.8
6.449999809,-1.202180181,8,0.8
6.459000111,-1.20643611,8,0.8
6.467999935,-1.21052289,8,0.8
6.477000237,-1.214473534,8,0.8
6.486000061,-1.218321754,8,0.8
6.494999886,-1.222112357,8,0.8
6.504000187,-1.22588347,8,0.8
6.513000011,-1.229678696,8,0.8
6.521999836,-1.233530884,8,0.8
6.531000137,-1.237472769,8,0.8
6.539999962,-1.241527056,8,0.8
6.548999786,-1.245709787,8,0.8
6.558000088,-1.250022979,8,0.8
6.566999912,-1.254465441,8,0.8
6.576000214,-1.259020026,8,0.8
6.585000038,-1.263669445,8,0.8
6.593999863,-1.268378662,8,0.8
6.603000164,-1.273117127,8,0.8
6.611999989,-1.277845051,8,0.8
6.620999813,-1.282520869,8,0.8
6.630000114,-1.287108916,8,0.8
6.638999939,-1.291571024,8,0.8
6.647999763,-1.295879363,8,0.8
6.657000065,-1.300008817,8,0.8
6.665999889,-1.303943512,8,0.8
6.675000191,-1.307677112,8,0.8
6.684000015,-1.31121438,8,0.8
6.69299984,-1.314564614,8,0.8
6.702000141,-1.317749603,8,0.8
6.710999966,-1.320796221,8,0.8
6.71999979,-1.323736529,8,0.8
6.729000092,-1.326609223,8,0.8
6.737999916,-1.329451368,8,0.8
6.747000217,-1.332301131,8,0.8
6.756000042,-1.335193897,8,0.8
6.764999866,-1.338161716,8,0.8
6.774000168,-1.341227653,8,0.8
6.782999992,-1.344409996,8,0.8
6.791999817,-1.347717437,8,0.8
6.801000118,-1.351151128,8,0.8
6.809999943,-1.354701017,8,0.8
6.818999767,-1.358352612,8,0.8
6.828000069,-1.36208064,8,0.8
6.836999893,-1.36586019,8,0.8
6.846000195,-1.369653298,8,0.8
6.855000019,-1.373430046,8,0.8
6.863999844,-1.377152035,8,0.8
6.873000145,-1.380789559,8,0.8
6.881999969,-1.384312247,8,0.8
6.890999794,-1.387696884,8,0.8
6.900000095,-1.390928966,8,0.8
6.90899992,-1.393998419,8,0.8
6.918000221,-1.396905719,8,0.8
6.927000046,-1.399657931,8,0.8
6.93599987,-1.402272758,8,0.8
6.945000172,-1.404772106,8,0.8
6.953999996,-1.407185159,8,0.8
6.962999821,-1.409546272,8,0.8
6.972000122,-1.411886436,8,0.8
6.980999947,-1.414243016,8,0.8
6.989999771,-1.416652308,8,0.8
6.999000072,-1.419142416,8,0.8
7.007999897,-1.42173791,8,0.8
7.017000198,-1.424460957,8,0.8
7.026000023,-1.427322205,8,0.8
7.034999847,-1.430328858,8,0.8
7.044000149,-1.433475235,8,0.8
7.052999973,-1.436750985,8,0.8
7.061999798,-1.440139674,8,0.8
7.071000099,-1.443618543,8,0.8
7.079999924,-1.447159937,8,0.8
7.089000225,-1.450734735,8,0.8
7.09800005,-1.454313389,8,0.8
7.106999874,-1.457865073,8,0.8
7.116000175,-1.461364419,8,0.8
7.125,-1.464789064,8,0.8
7.133999825,-1.468124018,8,0.8
7.143000126,-1.471358477,8,0.8
7.15199995,-1.474491385,8,0.8
7.160999775,-1.477528042,8,0.8
7.170000076,-1.480479171,8,0.8
7.178999901,-1.483366429,8,0.8
7.188000202,-1.486213391,8,0.8
7.197000027,-1.489050133,8,0.8
7.205999851,-1.491909924,8,0.8
7.215000153,-1.494824173,8,0.8
7.223999977,-1.497827663,8,0.8
7.232999802,-1.500951695,8,0.8
7.242000103,-1.504222187,8,0.8
7.250999928,-1.507660285,8,0.8
7.260000229,-1.511284769,8,0.8
7.269000053,-1.515104423,8,0.8
7.277999878,-1.519119772,8,0.8
7.287000179,-1.523328335,8,0.8
7.296000004,-1.52772016,8,0.8
7.304999828,-1.532275666,8,0.8
7.31400013,-1.536978796,8,0.8
7.322999954,-1.541803903,8,0.8
7.331999779,-1.546727312,8,0.8
7.34100008,-1.551724118,8,0.8
7.349999905,-1.556771868,8,0.8
7.359000206,-1.561850459,8,0.8
7.368000031,-1.566948702,8,0.8
7.376999855,-1.572055349,8,0.8
7.386000156,-1.577169565,8,0.8
7.394999981,-1.582294323,8,0.8
7.403999805,-1.587445272,8,0.8
7.413000107,-1.592635401,8,0.8
7.421999931,-1.597892934,8,0.8
7.431000233,-1.603245246,8,0.8
7.440000057,-1.60872474,8,0.8
7.448999882,-1.614366181,8,0.8
7.458000183,-1.62020379,8,0.8
7.467000008,-1.626271363,8,0.8
7.475999832,-1.632601305,8,0.8
7.485000134,-1.639218571,8,0.8
7.493999958,-1.646147782,8,0.8
7.502999783,-1.653406249,8,0.8
7.512000084,-1.661003871,8,0.8
7.520999908,-1.66894304,8,0.8
7.53000021,-1.677227126,8,0.8
7.539000034,-1.685845927,8,0.8
7.547999859,-1.694790453,8,0.8
7.55700016,-1.704046401,8,0.8
7.565999985,-1.713596205,8,0.8
7.574999809,-1.72342565,8,0.8
7.584000111,-1.733516691,8,0.8
7.592999935,-1.743859761,8,0.8
7.602000237,-1.754444928,8,0.8
7.611000061,-1.765268385,8,0.8
7.619999886,-1.77633152,8,0.8
7.629000187,-1.78764445,8,0.8
7.638000011,-1.799221777,8,0.8
7.646999836,-1.811084241,8,0.8
7.656000137,-1.823260119,8,0.8
7.664999962,-1.835781824,8,0.8
7.673999786,-1.848684947,8,0.8
7.683000088,-1.862009865,8,0.8
7.691999912,-1.875797969,8,0.8
7.701000214,-1.890087459,8,0.8
7.710000038,-1.90491816,8,0.8
7.718999863,-1.920324377,8,0.8
7.728000164,-1.936338168,8,0.8
7.736999989,-1.952982606,8,0.8
7.745999813,-1.970278433,8,0.8
7.755000114,-1.988237869,8,0.8
7.763999939,-2.006864674,8,0.8
7.772999763,-2.02615984,8,0.8
7.782000065,-2.046115155,8,0.8
7.790999889,-2.066716238,8,0.8
7.800000191,-2.087948201,8,0.8
7.809000015,-2.10978845,8,0.8
7.81799984,-2.132216082,8,0.8
7.827000141,-2.15520431,8,0.8
7.835999966,-2.178729592,8,0.8
7.84499979,-2.202768931,8,0.8
7.854000092,-2.227298174,8,0.8
7.862999916,-2.252296212,8,0.8
7.872000217,-2.277742277,8,0.8
7.881000042,-2.303618138,8,0.8
7.889999866,-2.329903741,8,0.8
7.899000168,-2.356576335,8,0.8
7.907999992,-2.383611143,8,0.8
7.916999817,-2.41097906,8,0.8
7.926000118,-2.438642838,8,0.8
7.934999943,-2.466556027,8,0.8
7.943999767,-2.494657254,8,0.8
7.953000069,-2.522875106,8,0.8
7.961999893,-2.55111896,8,0.8
7.971000195,-2.579280389,8,0.8
7.980000019,-2.607234697,8,0.8
7.988999844,-2.634833065,8,0.8
7.998000145,-2.661907174,8,0.8
8.006999969,-2.688271919,8,0.8
8.015999794,-2.713720048,8,0.8
8.024999619,-2.738030539,8,0.8
8.034000397,-2.76097191,8,0.8
8.043000221,-2.782298696,8,0.8
8.052000046,-2.80176245,8,0.8
8.06099987,-2.819116587,8,0.8
8.069999695,-2.834117604,8,0.8
8.079000473,-2.846535498,8,0.8
8.088000298,-2.856155567,8,0.8
